날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
1999-02-26,710.13,548.81,104.144,98.546,2383.5,426.29999
1999-01-29,739.54999,562.02002,108.843,102.617,2443.54,431.16
1998-12-31,697.27002,551.54999,100,100,2543.28,436.63
1998-11-30,648.63,533.59003,,,2513.6,425.63
1998-10-30,608.04999,508.16,,,2436.25,405.64999
1998-09-30,561.38,471.88,,,2339.97,371.70001
1998-08-31,526.85999,445.69,,,2223.38,358.62
1998-07-31,606.19,532.17999,,,2396.19,406.39999
1998-06-30,607.01001,544.65002,,,2512.73,417.70001
1998-05-29,567.21997,541.21997,,,2504.66,410.97
1998-04-30,579.34003,550.33002,,,2537.35,415.76999
1998-03-31,575,544.51001,,,2598.84,423.72
1998-02-27,547.35999,518.90002,,,2484.79,403.92999
1998-01-30,512.21997,483.84,,,2359.45,379.45001
1997-12-31,495.95001,490.39001,,,2426.84,373.75
1997-11-28,490.59,480.42999,,,2340.96,360.54001
1997-10-31,465.89001,463.76001,,,2239.97,340.81
1997-09-30,480.69,482.19,,,2292.52,343.57001
1997-08-29,457.98999,456.26999,,,2189.08,329.29001
1997-07-31,491.07999,478.88,,,2274.52,348.82999
1997-06-30,455.57001,444.09,,,2155.28,331.01001
1997-05-30,434.03,428.42999,,,2062.2,311.84
1997-04-30,410.26001,404.44,,,1953.18,292.47
1997-03-31,379.95999,390.42999,,,1913.92,280.45001
1997-02-28,399.48999,404.97,,,1986.91,294.70999
1997-01-31,396.67999,403.07999,,,1963.15,288.37
1996-12-31,368.14999,385.87,,,1921.88,275.88
1996-11-29,377.59,392.88,,,1963.23,280.47
1996-10-31,351.81,365.98001,,,1865.6,260.67001
1996-09-30,344.66,354.69,,,1798.54,259.57001
1996-08-30,322.91,340.82999,,,1740.49,247.13
1996-07-31,318.63,332.72,,,1713.31,244.14
1996-06-28,334.48001,348.04999,,,1799.7,253.98
1996-05-31,330.85999,350.29999,,,1757.09,252.58
1996-04-30,319.64001,346.51999,,,1741.66,245.62
1996-03-29,313.81,343.62,,,1743.29,241.48
1996-02-29,315.73001,336.26001,,,1732,238.09
1996-01-31,313.26001,334.26999,,,1744.65,232.82001
1995-12-29,302.04001,325.13,,,1694.99,228.21001
1995-11-30,299.23001,316.88,,,1644.23,221.8
1995-10-31,289.29999,302.28,,,1577.73,211.00999
1995-09-29,287.25,307.67001,,,1565.63,211.98
1995-08-31,274.28,297.92999,,,1502.05,204.62
1995-07-31,275.63,296.60999,,,1487.63,202.8
1995-06-30,267.32999,287.28,,,1452.82,198.74001
1995-05-31,257.98999,,,,1441.96,196.03
1995-04-28,249.55,,,,1393.99,190.17
1995-03-31,243.42999,,,,1373.16,187.87
1995-02-28,236.53,,,,1351.3,182.22
1995-01-31,227.99001,,,,1305.13,176.59
1994-12-30,222.67,,,,1270.75,169.52
1994-11-30,219.42,,,,1245.73,166.13
1994-10-31,227.33,,,,1299.77,171.53
1994-09-30,222.39,,,,1281.57,171.46001
1994-08-31,226.10001,,,,1325.7,173.60001
1994-07-29,215.11,,,,1294.97,162.8
1994-06-30,208.60001,,,,1249.4,158.78
